"Año";"Periodo";"Casos de coronavirus"
"2020";"Día 2 de diciembre";"0"
"2020";"Día 3 de diciembre";"0"
"2020";"Día 4 de diciembre";"588"
"2020";"Día 5 de diciembre";"0"
"2020";"Día 6 de diciembre";"413"
"2020";"Día 7 de diciembre";"214"
"2020";"Día 8 de diciembre";"206"
"2020";"Día 9 de diciembre";"190"
"2020";"Día 10 de diciembre";"0"
"2020";"Día 11 de diciembre";"0"
"2020";"Día 12 de diciembre";"653"
"2020";"Día 13 de diciembre";"0"
"2020";"Día 14 de diciembre";"486"
"2020";"Día 15 de diciembre";"252"
"2020";"Día 16 de diciembre";"265"
"2020";"Día 17 de diciembre";"0"
"2020";"Día 18 de diciembre";"0"
"2020";"Día 19 de diciembre";"798"
"2020";"Día 20 de diciembre";"282"
"2020";"Día 21 de diciembre";"295"
"2020";"Día 22 de diciembre";"0"
"2020";"Día 23 de diciembre";"0"
"2020";"Día 24 de diciembre";"847"
"2020";"Día 25 de diciembre";"0"
"2020";"Día 26 de diciembre";"0"
"2020";"Día 27 de diciembre";"0"
"2020";"Día 28 de diciembre";"796"
"2020";"Día 29 de diciembre";"0"
"2020";"Día 30 de diciembre";"545"
"2020";"Día 31 de diciembre";"0"
"2021";"2021";"0"
"2021";"Día 2 de enero";"0"
"2021";"Día 3 de enero";"843"
"2021";"Día 4 de enero";"284"
"2021";"Día 5 de enero";"268"
"2021";"Día 6 de enero";"0"
"2021";"Día 7 de enero";"593"
"2021";"Día 8 de enero";"307"
"2021";"Día 9 de enero";"319"
"2021";"Día 10 de enero";"331"
"2021";"Día 11 de enero";"0"
"2021";"Día 12 de enero";"634"
"2021";"Día 13 de enero";"0"
"2021";"Día 14 de enero";"618"
"2021";"Día 15 de enero";"0"
"2021";"Día 16 de enero";"627"
"2021";"Día 17 de enero";"0"
"2021";"Día 18 de enero";"653"
"2021";"Día 19 de enero";"0"
"2021";"Día 20 de enero";"0"
"2021";"Día 21 de enero";"951"
"2021";"Día 22 de enero";"284"
"2021";"Día 23 de enero";"0"
"2021";"Día 24 de enero";"546"
"2021";"Día 25 de enero";"261"
"2021";"Día 26 de enero";"0"
"2021";"Día 27 de enero";"510"
"2021";"Día 28 de enero";"0"
"2021";"Día 29 de enero";"0"
"2021";"Día 30 de enero";"0"
"2021";"Día 31 de enero";"977"
"2021";"Día 1 de febrero";"229"
"2021";"Día 2 de febrero";"0"
"2021";"Día 3 de febrero";"428"
"2021";"Día 4 de febrero";"198"
"2021";"Día 5 de febrero";"204"
"2021";"Día 6 de febrero";"212"
"2021";"Día 7 de febrero";"0"
"2021";"Día 8 de febrero";"416"
"2021";"Día 9 de febrero";"0"
"2021";"Día 10 de febrero";"0"
"2021";"Día 11 de febrero";"0"
"2021";"Día 12 de febrero";"775"
"2021";"Día 13 de febrero";"0"
"2021";"Día 14 de febrero";"0"
"2021";"Día 15 de febrero";"595"
"2021";"Día 16 de febrero";"0"
"2021";"Día 17 de febrero";"0"
"2021";"Día 18 de febrero";"523"
"2021";"Día 19 de febrero";"0"
"2021";"Día 20 de febrero";"0"
"2021";"Día 21 de febrero";"0"
"2021";"Día 22 de febrero";"689"
"2021";"Día 23 de febrero";"0"
"2021";"Día 24 de febrero";"0"
"2021";"Día 25 de febrero";"0"
"2021";"Día 26 de febrero";"631"
"2021";"Día 27 de febrero";"0"
"2021";"Día 28 de febrero";"0"
"2021";"Día 1 de marzo";"0"
"2021";"Día 2 de marzo";"625"
"2021";"Día 3 de marzo";"0"
"2021";"Día 4 de marzo";"309"
"2021";"Día 5 de marzo";"0"
"2021";"Día 6 de marzo";"0"
"2021";"Día 7 de marzo";"0"
"2021";"Día 8 de marzo";"0"
"2021";"Día 9 de marzo";"739"
"2021";"Día 10 de marzo";"138"
"2021";"Día 11 de marzo";"137"
"2021";"Día 12 de marzo";"133"
"2021";"Día 13 de marzo";"139"
"2021";"Día 14 de marzo";"0"
"2021";"Día 15 de marzo";"291"
"2021";"Día 16 de marzo";"154"
"2021";"Día 17 de marzo";"0"
"2021";"Día 18 de marzo";"0"
"2021";"Día 19 de marzo";"0"
"2021";"Día 20 de marzo";"0"
"2021";"Día 21 de marzo";"813"
"2021";"Día 22 de marzo";"0"
"2021";"Día 23 de marzo";"0"
"2021";"Día 24 de marzo";"422"
"2021";"Día 25 de marzo";"0"
"2021";"Día 26 de marzo";"0"
"2021";"Día 27 de marzo";"0"
"2021";"Día 28 de marzo";"0"
"2021";"Día 29 de marzo";"665"
"2021";"Día 30 de marzo";"0"
"2021";"Día 31 de marzo";"0"
"2021";"Día 1 de abril";"0"
"2021";"Día 2 de abril";"0"
"2021";"Día 3 de abril";"0"
"2021";"Día 4 de abril";"0"
"2021";"Día 5 de abril";"1.060"
"2021";"Día 6 de abril";"0"
"2021";"Día 7 de abril";"0"
"2021";"Día 8 de abril";"0"
"2021";"Día 9 de abril";"0"
"2021";"Día 10 de abril";"0"
"2021";"Día 11 de abril";"998"
"2021";"Día 12 de abril";"0"
"2021";"Día 13 de abril";"327"
"2021";"Día 14 de abril";"140"
"2021";"Día 15 de abril";"143"
"2021";"Día 16 de abril";"150"
"2021";"Día 17 de abril";"155"
"2021";"Día 18 de abril";"153"
"2021";"Día 19 de abril";"0"
"2021";"Día 20 de abril";"294"
"2021";"Día 21 de abril";"156"
"2021";"Día 22 de abril";"154"
"2021";"Día 23 de abril";"157"
"2021";"Día 24 de abril";"150"
"2021";"Día 25 de abril";"0"
"2021";"Día 26 de abril";"0"
"2021";"Día 27 de abril";"454"
"2021";"Día 28 de abril";"0"
"2021";"Día 29 de abril";"276"
"2021";"Día 30 de abril";"0"
"2021";"Día 1 de mayo";"0"
"2021";"Día 2 de mayo";"0"
"2021";"Día 3 de mayo";"529"
"2021";"Día 4 de mayo";"0"
"2021";"Día 5 de mayo";"270"
"2021";"Día 6 de mayo";"0"
"2021";"Día 7 de mayo";"258"
"2021";"Día 8 de mayo";"0"
"2021";"Día 9 de mayo";"125"
"2021";"Día 10 de mayo";"0"
"2021";"Día 11 de mayo";"0"
"2021";"Día 12 de mayo";"535"
"2021";"Día 13 de mayo";"0"
"2021";"Día 14 de mayo";"0"
"2021";"Día 15 de mayo";"415"
"2021";"Día 16 de mayo";"149"
"2021";"Día 17 de mayo";"0"
"2021";"Día 18 de mayo";"0"
"2021";"Día 19 de mayo";"0"
"2021";"Día 20 de mayo";"0"
"2021";"Día 21 de mayo";"741"
"2021";"Día 22 de mayo";"0"
"2021";"Día 23 de mayo";"0"
"2021";"Día 24 de mayo";"0"
"2021";"Día 25 de mayo";"601"
"2021";"Día 26 de mayo";"0"
"2021";"Día 27 de mayo";"0"
"2021";"Día 28 de mayo";"425"
"2021";"Día 29 de mayo";"0"
"2021";"Día 30 de mayo";"0"
"2021";"Día 31 de mayo";"456"
"2021";"Día 1 de junio";"0"
"2021";"Día 2 de junio";"0"
"2021";"Día 3 de junio";"439"
"2021";"Día 4 de junio";"0"
"2021";"Día 5 de junio";"0"
"2021";"Día 6 de junio";"0"
"2021";"Día 7 de junio";"0"
"2021";"Día 8 de junio";"842"
"2021";"Día 9 de junio";"0"
"2021";"Día 10 de junio";"368"
"2021";"Día 11 de junio";"0"
"2021";"Día 12 de junio";"0"
"2021";"Día 13 de junio";"0"
"2021";"Día 14 de junio";"0"
;;
;;
"Métrica":"Casos de coronavirus"
"Fuente":"Universidad Johns Hopkins"
"Clasificación":""
"Unidad":"Número de casos en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-nuevos-casos-coronavirus-lugar/cde56837-f86d-45ea-bf6a-825747807a4f/salvador/101"
"Titulo":"Evolución de nuevos casos diarios de coronavirus en El Salvador"
"Subtitulo":""
